age,job_num,marital_num,education_num,default_num,housing_num,loan_num,poutcome_num,duration,campaign,euribor3m
57,5,0,1,0,0,0,0,92,9,4.964
35,3,0,0,0,1,0,0,386,1,1.299
88,5,2,0,0,0,0,0,203,2,1.663
32,3,1,1,0,1,0,0,124,2,4.857
46,2,1,6,0,1,0,0,198,1,4.961
36,2,0,1,1,1,1,0,47,4,1.244
38,9,0,5,0,0,0,0,79,4,4.962
46,1,0,1,1,1,0,0,65,2,4.964
46,2,0,3,1,0,0,1,175,2,1.313
50,2,1,6,1,0,1,0,70,2,4.963
31,1,1,1,0,1,0,0,48,3,4.968
48,4,0,6,0,0,0,0,346,1,4.153
33,3,0,3,1,1,0,1,408,2,1.344
52,3,0,3,0,0,0,0,176,2,4.076
30,6,0,6,0,1,0,0,1226,2,0.742
37,2,0,1,0,1,0,0,599,3,4.96
33,2,1,6,0,0,0,0,102,3,4.964
30,2,1,6,0,1,0,0,324,2,1.039
44,10,0,6,0,1,0,0,676,2,4.12
40,10,0,6,0,0,0,0,181,2,1.244
35,4,0,2,0,0,0,0,104,2,4.856
33,1,3,1,0,0,0,0,11,21,4.959
47,2,0,2,1,1,0,1,399,2,1.41
27,3,1,3,0,2,2,0,182,3,4.962
36,6,1,6,0,0,0,0,301,6,4.96
39,1,0,1,0,1,0,0,68,2,4.968
30,3,0,3,0,0,0,0,80,1,4.962
43,3,0,2,0,0,0,0,235,2,4.961
38,3,0,2,0,0,0,0,144,2,4.865
48,2,2,1,0,1,0,0,34,1,4.859
56,2,0,5,0,1,0,0,157,4,4.964
52,3,0,0,1,1,1,0,85,3,4.962
44,4,1,6,0,0,1,0,228,2,4.963
30,4,0,6,0,2,2,0,71,1,4.96
43,4,1,4,0,1,0,0,320,3,4.857
25,2,1,1,0,0,0,0,449,2,0.81
44,4,0,4,0,0,0,0,189,1,4.153
41,1,0,1,1,1,0,0,255,2,4.076
30,1,0,1,0,0,1,0,198,2,4.856
44,3,0,3,1,0,0,0,116,2,4.855
27,7,1,6,0,1,0,0,120,1,4.961
44,2,1,6,0,0,0,0,112,1,4.966
38,2,0,6,0,1,1,1,134,1,1.281
36,3,0,3,0,0,0,0,63,1,4.962
23,1,1,1,0,0,1,0,207,1,4.963
40,3,1,2,1,0,0,1,139,1,1.405
60,5,2,1,1,1,0,0,398,4,4.857
39,2,0,6,0,0,0,1,355,3,1.405
22,11,1,1,0,0,0,0,87,2,1.313
37,4,0,1,0,1,0,0,136,1,4.859
34,4,0,4,1,0,0,0,61,1,4.968
29,11,1,1,0,0,1,0,630,1,4.857
43,3,0,3,0,0,0,0,111,5,4.961
41,3,0,0,0,0,0,0,163,2,4.857
59,5,0,6,0,1,0,0,77,4,4.962
36,1,0,1,0,0,0,0,101,3,0.729
46,2,1,1,0,1,0,1,207,2,4.12
38,11,1,5,1,1,1,0,76,4,4.962
58,8,0,2,1,1,0,0,79,8,4.962
40,8,0,6,0,1,0,0,141,1,4.964
27,4,1,6,0,1,0,1,250,3,0.904
58,6,0,2,0,1,0,0,197,2,4.857
31,2,1,1,0,0,1,0,258,6,0.908
36,4,0,3,0,1,0,1,297,2,1.344
56,2,0,3,0,1,0,0,431,2,1.415
40,4,0,4,1,1,0,0,192,1,4.965
48,3,0,1,1,1,1,0,299,1,4.857
31,3,1,1,0,0,0,1,451,1,1.266
29,2,1,6,0,0,0,2,216,1,0.683
42,6,0,6,0,0,0,0,197,3,4.959
55,9,0,0,1,1,0,0,216,2,4.864
31,1,0,3,0,1,0,0,186,5,4.859
36,4,0,6,0,1,0,0,197,2,4.858
37,3,0,2,0,0,0,0,54,1,1.299
22,2,1,1,0,1,0,0,107,1,4.961
36,2,2,1,0,1,0,0,416,2,4.859
29,3,0,3,0,1,1,0,437,7,4.963
28,1,1,3,1,1,0,0,294,2,4.855
52,2,2,3,0,0,1,0,639,2,1.244
39,5,1,2,1,1,0,0,466,1,1.281
47,1,2,4,0,1,0,0,165,1,4.961
39,3,0,2,0,1,0,0,332,3,4.076
48,3,0,5,0,1,0,0,346,3,4.963
39,3,0,2,0,0,0,1,110,2,1.334
32,2,2,6,0,1,0,0,147,4,4.86
50,1,2,0,1,1,0,0,91,4,4.959
29,10,0,3,0,1,0,0,202,1,4.12
40,3,1,0,1,0,0,1,158,2,1.415
43,8,2,6,1,1,0,0,363,4,4.958
32,2,1,6,0,1,0,0,197,2,0.735
27,2,1,6,0,0,0,2,167,3,0.879
54,0,0,0,1,1,0,0,523,3,4.964
32,2,0,6,0,1,0,0,394,1,1.365
60,6,0,6,1,0,0,0,403,6,4.865
36,4,0,4,0,0,0,0,151,1,4.961
30,6,0,6,0,0,0,0,103,4,4.963
32,2,0,6,0,0,0,0,148,3,4.859
36,3,0,0,0,1,0,0,47,1,1.327
46,10,1,6,0,1,1,1,142,12,1.405
36,6,0,6,0,0,1,0,59,2,4.958
44,4,0,4,0,1,0,0,515,2,4.86
48,1,2,1,0,2,2,1,124,1,1.405
29,7,1,6,0,1,0,0,201,2,4.864
27,4,0,4,0,0,1,0,18,1,0.655
48,4,0,4,0,1,1,0,695,3,4.021
43,2,0,1,0,1,0,1,121,2,1.281
38,3,0,3,0,0,0,1,180,2,4.153
52,10,0,3,1,1,0,0,176,2,4.857
60,10,0,0,0,0,1,0,141,2,4.858
50,2,0,6,0,1,0,0,199,3,4.864
28,11,1,6,0,1,0,0,6,1,0.89
31,7,1,6,0,1,0,0,174,2,4.966
36,3,0,2,1,0,0,0,166,1,4.855
24,4,1,4,1,0,0,0,149,4,4.858
35,4,0,4,0,1,0,1,16,6,1.266
38,10,0,0,0,0,0,0,822,1,4.96
41,2,0,1,0,0,0,0,483,1,4.857
58,0,0,0,1,1,0,0,652,2,4.864
52,2,2,1,0,1,0,1,54,2,1.244
41,2,1,1,0,1,0,1,306,3,1.354
45,4,0,1,0,1,0,1,116,2,1.405
31,1,0,3,1,1,0,0,318,1,4.962
53,0,0,0,1,0,0,0,165,20,4.961
42,6,0,1,0,0,0,0,59,2,4.076
54,6,2,6,0,1,1,1,39,1,1.334
25,4,1,6,0,0,1,0,79,4,0.715
31,2,0,6,0,0,0,0,141,5,4.966
56,5,0,5,0,0,0,0,83,1,4.964
32,4,0,6,1,0,0,0,212,2,4.964
45,3,0,5,0,0,0,0,194,2,4.963
35,3,1,3,0,1,0,0,181,1,1.334
28,2,1,1,0,0,1,0,254,2,4.962
38,4,1,4,0,1,0,0,114,1,4.968
45,10,0,1,0,0,0,0,1516,2,4.864
38,3,0,3,0,0,0,0,306,1,1.291
30,2,1,1,0,0,1,0,68,2,4.961
31,1,1,1,0,0,1,1,50,2,1.327
29,4,1,1,0,0,0,2,68,4,1.281
55,5,0,1,0,0,0,2,401,1,1.405
40,3,0,4,0,1,1,0,431,1,4.962
39,4,0,6,1,0,0,0,202,2,4.859
37,1,0,3,0,1,0,0,518,1,4.856
48,1,2,1,0,1,0,0,25,2,1.405
56,6,0,6,0,1,0,0,122,1,4.968
31,2,1,1,0,0,0,0,39,3,1.268
48,3,0,0,0,0,0,0,295,2,4.856
34,4,0,5,0,1,0,1,162,2,1.046
45,1,0,1,1,1,0,0,378,1,4.856
46,6,0,6,1,1,0,1,268,1,1.405
36,2,1,6,0,1,0,0,55,2,4.961
32,8,0,6,0,1,0,0,70,1,4.12
34,4,1,4,0,0,0,0,62,3,1.281
31,2,1,6,0,1,0,0,138,2,4.964
50,9,0,5,1,1,0,0,143,1,4.962
