age,job_num,marital_num,education_num,default_num,housing_num,loan_num,poutcome_num,duration,campaign,euribor3m
31,4,0,4,0,0,0,0,258,2,4.855
63,5,0,1,0,1,0,0,323,1,0.74
39,3,1,1,0,1,1,0,276,3,4.962
28,2,1,1,1,0,0,0,1391,2,1.327
51,4,0,4,1,1,1,0,273,1,4.965
45,1,2,1,0,0,0,0,101,5,4.959
28,4,0,4,0,0,0,0,261,3,4.961
49,2,2,1,0,1,0,0,537,5,4.865
35,7,0,4,0,0,0,0,67,1,4.857
55,1,0,1,0,1,1,0,691,1,1.405
50,5,0,4,0,1,0,0,695,1,4.962
40,1,1,1,0,1,0,0,44,1,4.859
34,2,1,6,0,0,1,0,110,4,4.858
26,3,1,1,0,0,1,0,251,2,4.962
52,1,0,1,0,0,1,0,38,2,1.313
37,2,0,6,0,1,1,0,214,1,0.644
39,3,0,3,0,0,1,0,110,1,4.961
32,1,1,1,0,0,0,0,472,2,1.41
29,8,0,1,0,0,0,0,238,6,4.961
31,2,0,6,0,0,0,0,211,1,4.076
33,3,0,4,0,1,1,0,154,1,1.498
39,2,0,6,0,1,0,0,442,4,4.076
61,5,0,3,0,1,1,0,104,2,0.803
52,3,0,0,0,1,0,0,162,1,4.96
37,3,2,3,0,0,0,0,232,1,4.961
37,3,2,1,0,1,0,0,217,1,1.327
38,4,1,6,0,1,0,1,456,1,1.405
35,3,2,0,0,0,1,0,487,4,4.961
29,4,0,1,0,0,0,0,397,1,1.268
54,5,2,0,0,0,0,0,157,3,4.865
58,0,1,4,0,0,1,0,335,1,0.64
47,3,0,2,0,0,0,0,543,3,4.855
44,2,0,6,1,1,0,0,344,2,4.86
33,3,0,3,1,1,0,0,88,2,4.857
44,10,1,6,0,0,0,0,75,1,4.866
30,2,1,6,0,1,0,0,282,2,4.961
55,5,0,0,0,1,0,2,137,1,0.869
24,11,1,3,0,0,0,0,133,1,1.334
30,10,1,1,0,1,0,0,85,5,4.961
32,2,1,6,0,1,0,0,718,1,4.021
43,2,0,1,0,1,0,0,25,1,4.963
32,2,0,6,0,1,0,0,151,5,1.266
48,3,0,3,0,1,0,1,57,2,1.25
31,2,2,6,0,1,0,0,204,2,4.856
42,2,0,1,0,0,1,0,417,3,4.962
38,7,2,6,0,1,0,0,152,3,4.858
30,6,0,6,0,0,0,0,122,1,4.964
24,6,1,6,0,1,0,1,676,2,0.737
29,1,0,1,0,0,0,0,614,2,4.856
30,6,0,6,0,2,2,1,210,1,0.88
45,2,1,6,0,0,0,2,582,1,1.259
30,2,1,1,0,1,0,0,712,2,4.963
30,6,1,6,0,1,0,0,692,1,1.415
38,4,0,4,0,0,0,0,277,1,1.405
42,3,0,0,1,1,1,0,588,3,4.859
41,0,0,2,0,1,0,1,223,4,1.291
31,2,2,6,0,2,2,0,351,3,4.964
42,4,0,4,0,1,0,0,543,1,4.964
33,4,0,6,0,0,0,0,19,8,4.962
43,0,0,0,0,1,0,0,97,1,4.962
32,3,0,0,0,1,0,0,130,4,4.96
32,4,1,4,0,0,0,0,153,2,1.25
35,4,1,4,0,0,0,0,152,1,4.963
41,3,0,0,1,2,2,0,314,1,1.327
36,3,0,2,0,1,0,0,167,1,4.858
31,8,1,6,0,1,0,0,412,1,4.191
33,2,1,6,0,1,0,1,143,2,0.642
36,2,1,6,0,1,1,0,374,2,4.859
44,6,0,6,0,0,0,0,44,2,1.405
30,3,0,3,0,0,1,0,173,1,4.962
30,2,0,6,0,1,0,0,907,2,4.856
22,11,1,1,0,1,1,0,131,2,1.266
54,2,0,6,0,0,1,2,822,6,0.908
27,2,0,1,0,1,0,0,202,6,4.957
52,2,0,6,0,1,0,0,27,10,4.965
34,4,2,4,0,1,0,1,7,6,1.25
51,6,2,6,0,1,0,1,154,3,1.327
45,3,1,3,0,1,0,2,249,1,0.879
36,2,1,6,0,0,0,0,7,5,1.291
35,1,2,3,0,1,1,0,62,6,4.153
48,3,0,0,1,1,0,0,277,1,4.961
40,3,0,0,1,0,0,0,105,3,4.959
42,5,2,7,0,0,0,0,146,4,0.834
39,1,0,1,1,0,0,0,218,4,4.857
36,10,0,6,0,0,0,0,187,4,4.963
29,3,0,3,0,0,0,0,249,3,4.962
47,2,1,6,0,0,0,0,267,2,4.964
35,3,0,2,0,0,0,0,102,1,4.855
26,2,1,6,0,1,0,0,30,2,4.957
45,8,1,4,1,1,0,0,77,4,4.859
31,3,1,3,1,1,0,0,228,3,1.281
53,3,0,3,1,0,0,0,64,2,4.076
33,4,0,4,0,1,1,0,500,1,1.313
38,2,1,6,0,0,0,0,114,4,1.244
25,1,1,1,0,0,0,1,251,1,0.977
45,3,2,3,0,0,0,0,399,4,4.962
